ID,Pencari Kerja Terdaftar,,
,Laki-Laki,Perempuan,Jumlah
1,6515,5085,11600
2,14270,13452,27722
3,9734,10570,20304
4,10179,6298,16477
5,6376,4827,11203
6,14436,9153,23589
7,2152,2094,4246
8,9316,6474,15790
9,2470,2013,4483
10,6818,4564,11382
11,22940,13707,36647
12,162560,130193,292753
13,62873,49097,111970
14,7212,6098,13310
15,55194,40784,95978
16,35076,23702,58778
17,6919,4932,11851
18,9207,5186,14393
19,3214,2918,6132
20,6149,4873,11022
21,7097,3305,10402
22,7227,3063,10290
23,9847,3770,13617
24,1430,940,2370
25,3082,2648,5730
26,9358,4742,14100
27,27750,16647,44397
28,5575,3930,9505
29,1217,1066,2283
30,2358,1404,3762
31,4401,3092,7493
32,6563,3156,9719
33,1066,1029,2095
34,1294,489,1783