ID,Penempatan Tenaga Kerja,,
,Laki-Laki,Perempuan,Jumlah
1,810,739,1549
2,533,835,1368
3,787,938,1725
4,167,253,420
5,395,475,870
6,538,581,1119
7,289,373,662
8,427,439,866
9,290,211,501
10,201,119,320
11,308,191,499
12,4531,2448,6979
13,5824,5815,11639
14,852,852,1704
15,4183,3890,8073
16,851,414,1265
17,441,537,978
18,1095,662,1757
19,208,242,450
20,101,104,205
21,282,400,682
22,460,426,886
23,1024,637,1661
24,247,147,394
25,140,97,237
26,397,467,864
27,1278,1371,2649
28,735,815,1550
29,203,310,513
30,169,117,286
31,554,485,1039
32,228,190,418
33,258,317,575
34,120,93,213